,1,,,,2,,,,3,,,
146700,0,47.8590237,39.66735322,41.34259989,0,47.86049481,39.66895238,41.34395162,0,47.91270692,39.72265448,41.41748546
147600,0,47.81181702,39.62011175,41.30252823,0,47.8133057,39.62172896,41.30390185,0,47.86608339,39.67599678,41.3780751
148500,0,47.8036514,39.62362604,41.29682136,0,47.80514364,39.62523657,41.29820603,0,47.85824131,39.67980052,41.37290223
149400,0,47.76024944,39.58028645,41.26090709,0,47.7617581,39.58191375,41.2623118,0,47.81541232,39.63703452,41.33761393
150300,0,47.71694535,39.53702939,41.22432354,0,47.7184703,39.53867334,41.2257478,0,47.77267804,39.59434816,41.30164358
151200,0,47.67375767,39.4938745,41.18715411,0,47.67529913,39.49553533,41.18859825,0,47.730064,39.55176839,41.26509227
152100,0,47.71654001,39.56016976,41.24578862,0,47.71806991,39.56179456,41.24723323,0,47.77268113,39.61782657,41.32373612
153000,0,47.6822031,39.52613769,41.22042683,0,47.68374619,39.52777585,41.22188439,0,47.73885603,39.58430321,41.29881547
153900,0,47.64801277,39.49223399,41.19446229,0,47.64957076,39.49388734,41.1959374,0,47.70522363,39.55095806,41.27341331
154800,0,47.61386171,39.45834396,41.16767093,0,47.61543433,39.46001221,41.16916278,0,47.67163037,39.51762671,41.24718037
155700,0,47.57671454,39.4218963,41.14686303,0,47.57830282,39.42358013,41.14837242,0,47.63502958,39.48171734,41.22680141
156600,0,47.54261477,39.38800219,41.11886392,0,47.54421723,39.38970046,41.12038935,0,47.60147792,39.44837208,41.19934336
157500,0,47.50859052,39.35416392,41.09028802,0,47.51020704,39.35587649,41.09182921,0,47.56800155,39.41508261,41.17130738
158400,0,47.47464514,39.3203861,41.06120071,0,47.47627569,39.32211296,41.06275774,0,47.53460579,39.38185566,41.14276505
159300,0,47.29165024,39.08900575,40.89188088,0,47.29335637,39.09085539,40.89351022,0,47.35346603,39.15249935,40.97493565
160200,0,47.24192874,39.03888852,40.83951965,0,47.2436522,39.04075589,40.84116756,0,47.304292,39.10293161,40.92314486
161100,0,47.19256412,38.98914457,40.78766555,0,47.1943048,38.99102954,40.78933182,0,47.25547276,39.05373507,40.87185813
162000,0,47.14354744,38.93976401,40.73629775,0,47.14530523,38.94166645,40.73798218,0,47.20699938,39.00489985,40.82105469
162900,0,46.98007754,38.74852193,40.54585362,0,46.98189715,38.75049281,40.5475967,0,47.04500287,38.81528496,40.63225406
163800,0,46.92223214,38.6899607,40.48265243,0,46.92407092,38.69195055,40.48441518,0,46.98770558,38.75727601,40.56963504
