,1,,,,2,,,,3,,,,,,,
105300,0,48.45084936,40.40867797,41.4912131,0,48.45116867,40.40904178,41.49146266,0,48.4689017,40.42815117,41.53442261,0,48.44148248,40.39883655,41.48065592
106200,0,48.46985529,40.42918122,41.51877231,0,48.47018803,40.42955871,41.51903375,0,48.48835196,40.44910431,41.56239941,0,48.46025669,40.41911053,41.50799531
107100,0,48.4884483,40.44917418,41.54565185,0,48.48879454,40.44956542,41.54592527,0,48.50738762,40.46954625,41.5896969,0,48.47860656,40.43886339,41.53464478
108000,0,48.50658186,40.46862885,41.57181163,0,48.50694158,40.46903389,41.57209704,0,48.52597231,40.48945188,41.61628439,0,48.49648824,40.45807542,41.56056539
108900,0,48.68319218,40.65079,41.76052477,0,48.68363374,40.65126932,41.76088454,0,48.70737749,40.67622112,41.80916263,0,48.67067011,40.63787548,41.74716835
109800,0,48.7252733,40.69351851,41.80791781,0,48.72573194,40.69401491,41.80829343,0,48.75015976,40.71965448,41.85724034,0,48.71237734,40.68023094,41.7941999
110700,0,48.76689203,40.73574864,41.85469122,0,48.76736773,40.7362621,41.85508274,0,48.79247819,40.76258803,41.90469851,0,48.75362332,40.72208901,41.84061207
111600,0,48.80804999,40.77748387,41.90085065,0,48.80854274,40.77801439,41.90125812,0,48.83433438,40.8050252,41.95154267,0,48.79440973,40.76345325,41.8864106
112500,0,48.70291532,40.64627849,41.72564405,0,48.70339729,40.64680632,41.72602842,0,48.72835232,40.67303737,41.77581922,0,48.68964425,40.63265607,41.7115889
113400,0,48.73186886,40.67539019,41.75609298,0,48.732372,40.67593881,41.75649665,0,48.75813045,40.70297766,41.80710556,0,48.71814581,40.66131503,41.74159145
114300,0,48.76050908,40.70417926,41.78619432,0,48.7610335,40.70474881,41.78661751,0,48.78758675,40.73258667,41.83803637,0,48.74634062,40.68965795,41.7712518
115200,0,48.7888461,40.73265632,41.81595866,0,48.78939191,40.73324691,41.81640155,0,48.81673138,40.76187503,41.86862225,0,48.77423866,40.71769528,41.80058048
116100,0,48.888081,40.84239129,41.91836022,0,48.88866941,40.84302175,41.9188482,0,48.91783965,40.87349164,41.97309938,0,48.87257721,40.82649942,41.90209496
117000,0,48.92337374,40.87791978,41.9562901,0,48.92398163,40.8785697,41.95679655,0,48.95387136,40.90976201,42.01177854,0,48.90748185,40.86164005,41.93963892
117900,0,48.95830596,40.91307448,41.99378248,0,48.95893332,40.91374386,41.99430744,0,48.98953782,40.94565383,42.050016,0,48.94202836,40.89640982,41.97674716
118800,0,48.99288631,40.94786485,42.03084802,0,48.99353328,40.94855373,42.03139169,0,49.02484785,40.98117654,42.08782257,0,48.9762246,40.93081803,42.01342965
119700,0,48.85628313,40.80469163,41.89477703,0,48.85687272,40.8053248,41.89526069,0,48.88498992,40.83474056,41.94872271,0,48.8412518,40.78940203,41.87886702
120600,0,48.85655638,40.8058999,41.89952027,0,48.85716334,40.80655017,41.90001996,0,48.88584632,40.83653513,41.95405442,0,48.8412162,40.79030654,41.88330126
121500,0,48.85595535,40.80618056,41.90325746,0,48.8565798,40.80684804,41.90377334,0,48.88583271,40.83740615,41.95838315,0,48.84030795,40.79028464,41.88673109
122400,0,48.85451404,40.80556829,41.90602182,0,48.85515527,40.80625226,41.90655326,0,48.88496549,40.83737008,41.96172567,0,48.83856653,40.78937676,41.88919482
123300,0,48.85891084,40.81329407,41.94821419,0,48.85959287,40.81401857,41.94878572,0,48.89060709,40.84635695,42.00479825,0,48.84227756,40.7963832,41.9306926
124200,0,48.85819425,40.81336341,41.95183859,0,48.8588941,40.81410547,41.95242689,0,48.89042848,40.84696377,42.00896037,0,48.84126,40.79615615,41.93401508
125100,0,48.85669947,40.81260176,41.95453753,0,48.85742031,40.81336468,41.95514563,0,48.88947481,40.84674245,42.01219924,0,48.83936334,40.79499304,41.93631747
126000,0,48.8539399,40.81050419,41.95585642,0,48.8546939,40.81130059,41.95649576,0,48.88766303,40.84560686,42.01443925,0,48.83607802,40.79236492,41.93712347
126900,0,48.79561906,40.74515945,41.87874807,0,48.79645252,40.74603876,41.87945182,0,48.83212564,40.78306167,41.93980844,0,48.7763993,40.72572214,41.85890475
127800,0,48.77606743,40.7259616,41.86207609,0,48.77692331,40.72686314,41.86280194,0,48.81325162,40.76454435,41.92385538,0,48.75653412,40.7062107,41.84189271
128700,0,48.75638701,40.70661352,41.84509696,0,48.75726557,40.70753755,41.84584514,0,48.79424193,40.74586953,41.90758641,0,48.73654185,40.68655076,41.82457686
129600,0,48.73659895,40.6871377,41.82784026,0,48.73750038,40.68808442,41.82861096,0,48.77511854,40.72706057,41.89103214,0,48.71644343,40.66676462,41.80698646
130500,0,48.74233553,40.69738421,41.8866097,0,48.74324402,40.69833675,41.88739127,0,48.78084513,40.73726452,41.94935315,0,48.72212204,40.67693415,41.86562948
131400,0,48.72756635,40.68305721,41.87504522,0,48.7284997,40.68403456,41.87585065,0,48.76674719,40.72361138,41.93845585,0,48.70701204,40.66226621,41.85371801
132300,0,48.712477,40.66838024,41.86300899,0,48.71343488,40.66938206,41.86383804,0,48.75231258,40.70959098,41.92707253,0,48.69159069,40.64725734,41.84134342
133200,0,48.69711785,40.65340593,41.85054884,0,48.69810011,40.65443208,41.85140173,0,48.73759631,40.6952609,41.91525874,0,48.67590374,40.63195521,41.82854106
134100,0,48.71500184,40.67805674,41.88858472,0,48.71596873,40.67906564,41.88943143,0,48.75510707,40.71952939,41.95307511,0,48.69415039,40.65693246,41.86679345
135000,0,48.71424561,40.67809632,41.89111227,0,48.7152298,40.67912237,41.89197611,0,48.75476108,40.71997661,41.95602582,0,48.69321588,40.6568025,41.86913209
